Año,2021,2022,2023,2024,2025,2026,2027,2028,2029
Ingresos de actividades ordinarias,27450000,33203000,35819000,51574000,64093000,79651000,98985740.0,123013200.0,152873400.0
Costos de ventas,10600000,11108000,11129000,19065000,23909510,29985020,37604360.0,47159810.0,59143340.0
Ganancia (pérdida) bruta,16844000,22095000,24690000,32509000,40183500,49665890,61381110.0,75783290.0,93730060.0
Gastos de ventas y distribución y Gastos de administración,1635400,1562600,1647800,3502600,3828488,6656282,9175796.0,12639484.0,17437870.0
Gastos operativos,8177000,7813000,8239000,37513000,41440000,33821410,45879880.0,63247420.0,87189350.0
Ganancia (pérdida) operativa,8667000,14282000,16451000,14996000,15581500,22994980,32125430.0,35212220.0,43450070.0
Gastos de depreciación y amortización,554000,582700,617800,702500,760187,822612,890162.8,963260.6,1042361.0
(Gasto) por impuesto a la renta,29000,939000,1015000,3748000,3641530,5748328,7118849.0,8816422.0,10918290.0
Flujo de caja bruto,9221400,14864700,17068800,15698500,19117657,23772552,28914120.86,36085930.6,44942391.43
Inversiones en activos fijos neto,0,283000,351000,847000,567285,624245,675508.0,730500.0,791004.0
Variaciones en capital de trabajo,0,1464000,663000,1842000,2724000,3990079,3538023.28,8523124.0,12429662.0
Flujo de caja libre (FCF),9221400,13117700,16054800,13009500,15876000,19157598,24580639.6,26712164.0,31721765.4
Ingresos totales,27450000,33203000,35819000,51574000,64093060,79651000,98985470.0,123013200.0,152873400.0
Costo de ingresos,10606000,11108000,11129000,19065000,23909510,29985020,37064060.0,47015910.0,59143340.0
Utilidad bruta,16844000,22095000,24690000,32509000,40591580,50683690,63284960.0,79019320.0,98665450.0
Gastos Operativos,8177000,7813000,8239000,17513000,24142440,33281410,45879880.0,63247420.0,87189350.0
Utilidad Operativa,8667000,14282000,16451000,14996000,18551480,22949940,28339120.0,35122670.0,43450070.0
Gastos Financieros,1885000,1737000,1622000,3492000,4665518,6233407,8328200.0,11126970.0,14866280.0
Utilidad antes de impuestos,6765000,12434000,15097000,9916000,12259410,15156640,18738560.0,23166970.0,28641950.0
Impuesto a la renta,29000,939000,1015000,3748000,4641630,5748328,7118894.0,8816242.0,10918290.0
Utilidad Neta,6736000,11495000,14082000,6168000,6927821,7781242,8739795.0,9816429.0,11025690.0
